,Date,District,Final_aqi
315,2024-10-18,Rahim Yar Khan,73.31705004166666
316,2024-10-18,Rajanpur,76.19552641666667
317,2024-10-18,Rawalpindi,105.13201845833333
318,2024-10-18,Sahiwal,115.77214562500001
319,2024-10-18,Sargodha,122.19360583333334
320,2024-10-18,Sheikhupura,151.436989375
321,2024-10-18,Sialkot,103.27749429166666
322,2024-10-18,Toba Tek Singh,116.73918141666667
323,2024-10-18,Vehari,108.49481625
324,2024-10-19,Attock,92.55671095833333
325,2024-10-19,Bahawalnagar,107.42404729166667
326,2024-10-19,Bahawalpur,91.92215229166668
327,2024-10-19,Bhakkar,102.28857141666667
328,2024-10-19,Chakwal,87.3865805
329,2024-10-19,Chiniot,127.76232479166667
330,2024-10-19,Dera Ghazi Khan,121.826075625
331,2024-10-19,Faisalabad,105.97214112500001
332,2024-10-19,Gujranwala,120.776501125
333,2024-10-19,Gujrat,86.18841720833335
334,2024-10-19,Hafizabad,115.54976520833333
335,2024-10-19,Jhang,119.90763091666668
336,2024-10-19,Jhelum,95.11230245833333
337,2024-10-19,Kasur,103.88688879166666
338,2024-10-19,Khanewal,108.22946404166667
339,2024-10-19,Khushab,102.26242666666667
340,2024-10-19,Lahore,131.49170958333335
341,2024-10-19,Layyah,106.69082733333333
342,2024-10-19,Lodhran,98.07483370833334
343,2024-10-19,Mandi Bahuddin,115.54537741666667
344,2024-10-19,Mianwali,104.476877
345,2024-10-19,Multan,110.56636708333333
346,2024-10-19,Muzaffargarh,108.96905983333333
347,2024-10-19,Nankana Sahib,105.09951320833333
348,2024-10-19,Narowal,100.02627975
349,2024-10-19,Okara,99.913156625
350,2024-10-19,Pakpattan,111.06901958333333
351,2024-10-19,Rahim Yar Khan,71.28349291666667
352,2024-10-19,Rajanpur,84.42030725
353,2024-10-19,Rawalpindi,93.77409070833333
354,2024-10-19,Sahiwal,106.98752804166666
355,2024-10-19,Sargodha,123.12895587499999
356,2024-10-19,Sheikhupura,132.42949000000002
357,2024-10-19,Sialkot,102.10623058333333
358,2024-10-19,Toba Tek Singh,108.22017341666667
359,2024-10-19,Vehari,106.42361008333334
360,2024-10-20,Attock,95.50759675
361,2024-10-20,Bahawalnagar,112.15408008333333
362,2024-10-20,Bahawalpur,80.55856091666666
363,2024-10-20,Bhakkar,99.84500404166666
364,2024-10-20,Chakwal,87.48290208333333
365,2024-10-20,Chiniot,125.952290375
366,2024-10-20,Dera Ghazi Khan,114.93456320833333
367,2024-10-20,Faisalabad,107.95129974999999
368,2024-10-20,Gujranwala,123.47661520833333
369,2024-10-20,Gujrat,90.74979425
370,2024-10-20,Hafizabad,115.11305770833333
371,2024-10-20,Jhang,116.46693833333335
372,2024-10-20,Jhelum,93.72550245833334
373,2024-10-20,Kasur,103.12704329166667
374,2024-10-20,Khanewal,112.00160183333332
375,2024-10-20,Khushab,99.35470854166665
376,2024-10-20,Lahore,133.27713666666668
377,2024-10-20,Layyah,105.291959
378,2024-10-20,Lodhran,101.05223833333334
379,2024-10-20,Mandi Bahuddin,115.98178766666666
380,2024-10-20,Mianwali,100.34387133333333
381,2024-10-20,Multan,108.87503825
382,2024-10-20,Muzaffargarh,108.08596991666667
383,2024-10-20,Nankana Sahib,107.87983591666666
384,2024-10-20,Narowal,105.94774683333333
385,2024-10-20,Okara,105.33437883333333
386,2024-10-20,Pakpattan,112.542661125
387,2024-10-20,Rahim Yar Khan,60.04948375
388,2024-10-20,Rajanpur,69.82085566666667
389,2024-10-20,Rawalpindi,92.25439425
390,2024-10-20,Sahiwal,106.09996533333333
391,2024-10-20,Sargodha,119.27752308333334
392,2024-10-20,Sheikhupura,132.57178958333333
393,2024-10-20,Sialkot,109.989091875
394,2024-10-20,Toba Tek Singh,109.14850100000001
395,2024-10-20,Vehari,110.55652566666667
396,2024-10-21,Attock,92.27731883333333
397,2024-10-21,Bahawalnagar,93.617148375
398,2024-10-21,Bahawalpur,83.904916
399,2024-10-21,Bhakkar,75.67163279166667
400,2024-10-21,Chakwal,85.34445783333332
401,2024-10-21,Chiniot,117.19964025
402,2024-10-21,Dera Ghazi Khan,92.85198075
403,2024-10-21,Faisalabad,93.82645220833332
404,2024-10-21,Gujranwala,112.14743062500001
405,2024-10-21,Gujrat,86.4492135
406,2024-10-21,Hafizabad,107.94625466666668
407,2024-10-21,Jhang,100.98834566666666
408,2024-10-21,Jhelum,99.10873670833332
409,2024-10-21,Kasur,92.126889375
410,2024-10-21,Khanewal,86.95369404166667
411,2024-10-21,Khushab,81.26071058333333
412,2024-10-21,Lahore,129.415952875
413,2024-10-21,Layyah,85.40538304166667
414,2024-10-21,Lodhran,77.54069608333333
415,2024-10-21,Mandi Bahuddin,111.60562549999999
416,2024-10-21,Mianwali,83.50366258333334
417,2024-10-21,Multan,84.70702104166666
418,2024-10-21,Muzaffargarh,82.46337212499999
419,2024-10-21,Nankana Sahib,92.941375125
420,2024-10-21,Narowal,100.73855433333334
421,2024-10-21,Okara,81.633192875
422,2024-10-21,Pakpattan,95.00095583333332
423,2024-10-21,Rahim Yar Khan,55.87259170833334
424,2024-10-21,Rajanpur,58.42992458333333
425,2024-10-21,Rawalpindi,90.31533204166668
426,2024-10-21,Sahiwal,90.524459625
