District,date,Aqi
Chakwal,2024-10-10,67.96774
Chakwal,2024-10-11,67.68217
Chakwal,2024-10-12,67.1836
Chakwal,2024-10-13,65.61194
Chakwal,2024-10-14,63.753353
Chakwal,2024-10-15,64.905876
Chakwal,2024-10-16,65.57287
Chakwal,2024-10-17,65.23893
Chakwal,2024-10-18,65.96527
Chakwal,2024-10-19,67.8446
Chakwal,2024-10-20,67.94622
Chakwal,2024-10-21,67.658676
Chakwal,2024-10-22,66.67946
Chakwal,2024-10-23,64.402664
Chakwal,2024-10-24,63.35789
Chakwal,2024-10-25,64.44702
Chakwal,2024-10-26,65.44449
Chakwal,2024-10-27,65.370995
Chakwal,2024-10-28,65.787544
Chakwal,2024-10-29,67.64422
Chakwal,2024-10-30,67.82608
Chakwal,2024-10-31,67.769615
Chakwal,2024-11-01,67.21762
Chakwal,2024-11-02,65.02978
Chakwal,2024-11-03,64.17456
Chakwal,2024-11-04,65.23733
Chakwal,2024-11-05,65.432304
Chakwal,2024-11-06,65.316574
Chakwal,2024-11-07,66.14778
Chakwal,2024-11-08,67.79918
Chakwal,2024-11-09,67.80512
Chakwal,2024-11-10,67.61889
Chakwal,2024-11-11,67.28071
Chakwal,2024-11-12,65.42124
Chakwal,2024-11-13,63.162663
Chakwal,2024-11-14,64.0297
Chakwal,2024-11-15,65.08922
Chakwal,2024-11-16,65.48167
Chakwal,2024-11-17,65.50254
Chakwal,2024-11-18,67.53988
Chakwal,2024-11-19,67.93426
Chakwal,2024-11-20,67.69631
Chakwal,2024-11-21,67.57315
Chakwal,2024-11-22,67.051865
Chakwal,2024-11-23,65.46169
Chakwal,2024-11-24,63.862152
Chakwal,2024-11-25,64.93373
Chakwal,2024-11-26,65.487114
Chakwal,2024-11-27,65.39642
Chiniot,2024-08-30,72.63742
Chiniot,2024-08-31,65.58998
Chiniot,2024-09-01,70.97252
Chiniot,2024-09-02,78.64623
Chiniot,2024-09-03,81.42365
Chiniot,2024-09-04,83.348175
Chiniot,2024-09-05,82.697334
Chiniot,2024-09-06,82.30728
Chiniot,2024-09-07,82.16402
Chiniot,2024-09-08,82.65152
Chiniot,2024-09-09,80.76847
Chiniot,2024-09-10,81.87681
Chiniot,2024-09-11,82.20814
Chiniot,2024-09-12,82.98369
Chiniot,2024-09-13,84.216125
Chiniot,2024-09-14,84.96058
Chiniot,2024-09-15,85.251236
Chiniot,2024-09-16,85.4195
Chiniot,2024-09-17,85.02274
Chiniot,2024-09-18,84.121445
Chiniot,2024-09-19,81.20432
Chiniot,2024-09-20,80.76125
Chiniot,2024-09-21,81.435486
Chiniot,2024-09-22,81.76252
Chiniot,2024-09-23,83.0079
Chiniot,2024-09-24,83.93039
Chiniot,2024-09-25,84.13882
Chiniot,2024-09-26,84.3664
Chiniot,2024-09-27,80.8432
Chiniot,2024-09-28,81.09983
Chiniot,2024-09-29,82.084366
Chiniot,2024-09-30,82.9917
Chiniot,2024-10-01,82.94339
Chiniot,2024-10-02,82.26988
Chiniot,2024-10-03,79.854294
Chiniot,2024-10-04,80.32808
Chiniot,2024-10-05,82.25805
Chiniot,2024-10-06,82.493324
Chiniot,2024-10-07,82.36347
Chiniot,2024-10-08,83.35482
Chiniot,2024-10-09,85.69004
Chiniot,2024-10-10,87.45763
Chiniot,2024-10-11,88.21464
Chiniot,2024-10-12,86.76197
Chiniot,2024-10-13,84.61035
Chiniot,2024-10-14,81.08429
Chiniot,2024-10-15,83.050545
Chiniot,2024-10-16,82.81547
Chiniot,2024-10-17,83.27099
Chiniot,2024-10-18,84.91583
Chiniot,2024-10-19,86.467995
Chiniot,2024-10-20,87.836174
Chiniot,2024-10-21,87.46797
Chiniot,2024-10-22,86.545845
Chiniot,2024-10-23,83.297646
Chiniot,2024-10-24,80.08121
Chiniot,2024-10-25,82.67399
Chiniot,2024-10-26,82.99331
Chiniot,2024-10-27,83.185974
Chiniot,2024-10-28,84.3472
Chiniot,2024-10-29,86.28565
Chiniot,2024-10-30,87.42931
Chiniot,2024-10-31,87.71632
Chiniot,2024-11-01,87.04091
Chiniot,2024-11-02,84.58303
Chiniot,2024-11-03,82.05193
Chiniot,2024-11-04,82.95634
Chiniot,2024-11-05,82.81088
Chiniot,2024-11-06,82.9118
Chiniot,2024-11-07,84.21514
Chiniot,2024-11-08,85.97464
Chiniot,2024-11-09,86.80547
Chiniot,2024-11-10,87.39478
Chiniot,2024-11-11,87.1355
Chiniot,2024-11-12,85.00493
Chiniot,2024-11-13,79.91608
Chiniot,2024-11-14,81.45525
Chiniot,2024-11-15,82.89036
Chiniot,2024-11-16,82.68347
Chiniot,2024-11-17,83.25681
Chiniot,2024-11-18,85.7783
Chiniot,2024-11-19,87.30462
Chiniot,2024-11-20,88.08298
Chiniot,2024-11-21,87.06313
Chiniot,2024-11-22,86.33242
Chiniot,2024-11-23,84.34544
Chiniot,2024-11-24,81.18322
Chiniot,2024-11-25,82.95588
Chiniot,2024-11-26,82.73825
Chiniot,2024-11-27,82.82893
Dera Ghazi Khan,2024-08-30,57.504044
Dera Ghazi Khan,2024-08-31,51.212856
Dera Ghazi Khan,2024-09-01,51.135403
Dera Ghazi Khan,2024-09-02,51.135937
Dera Ghazi Khan,2024-09-03,51.24017
Dera Ghazi Khan,2024-09-04,50.21182
Dera Ghazi Khan,2024-09-05,48.995213
Dera Ghazi Khan,2024-09-06,48.259758
Dera Ghazi Khan,2024-09-07,48.89332
Dera Ghazi Khan,2024-09-08,48.617504
Dera Ghazi Khan,2024-09-09,49.669594
Dera Ghazi Khan,2024-09-10,50.235672
Dera Ghazi Khan,2024-09-11,50.648643
Dera Ghazi Khan,2024-09-12,51.02918
Dera Ghazi Khan,2024-09-13,51.261227
Dera Ghazi Khan,2024-09-14,51.086514
Dera Ghazi Khan,2024-09-15,50.755436
Dera Ghazi Khan,2024-09-16,50.500076
Dera Ghazi Khan,2024-09-17,50.459846
Dera Ghazi Khan,2024-09-18,49.93905
Dera Ghazi Khan,2024-09-19,49.205708
Dera Ghazi Khan,2024-09-20,49.370197
Dera Ghazi Khan,2024-09-21,50.039253
Dera Ghazi Khan,2024-09-22,50.4572
Dera Ghazi Khan,2024-09-23,50.47513
Dera Ghazi Khan,2024-09-24,50.743473
Dera Ghazi Khan,2024-09-25,50.541004
Dera Ghazi Khan,2024-09-26,50.49894
Dera Ghazi Khan,2024-09-27,49.987747
Dera Ghazi Khan,2024-09-28,50.617146
Dera Ghazi Khan,2024-09-29,51.226025
Dera Ghazi Khan,2024-09-30,50.55579
Dera Ghazi Khan,2024-10-01,50.46952
Dera Ghazi Khan,2024-10-02,49.921593
Dera Ghazi Khan,2024-10-03,49.232803
Dera Ghazi Khan,2024-10-04,49.52349
Dera Ghazi Khan,2024-10-05,50.42099
Dera Ghazi Khan,2024-10-06,51.26164
Dera Ghazi Khan,2024-10-07,52.40799
Dera Ghazi Khan,2024-10-08,53.08378
Dera Ghazi Khan,2024-10-09,54.117107
Dera Ghazi Khan,2024-10-10,54.548515
Dera Ghazi Khan,2024-10-11,54.306747
Dera Ghazi Khan,2024-10-12,53.123344
Dera Ghazi Khan,2024-10-13,50.987526
Dera Ghazi Khan,2024-10-14,49.847343
Dera Ghazi Khan,2024-10-15,51.045605
Dera Ghazi Khan,2024-10-16,52.60798
Dera Ghazi Khan,2024-10-17,54.363808
Dera Ghazi Khan,2024-10-18,54.94937
Dera Ghazi Khan,2024-10-19,54.194168
Dera Ghazi Khan,2024-10-20,54.018597
Dera Ghazi Khan,2024-10-21,53.84469
Dera Ghazi Khan,2024-10-22,52.80896
Dera Ghazi Khan,2024-10-23,50.10077
Dera Ghazi Khan,2024-10-24,49.748837
Dera Ghazi Khan,2024-10-25,50.48474
Dera Ghazi Khan,2024-10-26,52.054707
Dera Ghazi Khan,2024-10-27,53.990017
Dera Ghazi Khan,2024-10-28,54.884438
Dera Ghazi Khan,2024-10-29,54.664955
Dera Ghazi Khan,2024-10-30,53.973522
Dera Ghazi Khan,2024-10-31,53.932247
Dera Ghazi Khan,2024-11-01,53.239937
Dera Ghazi Khan,2024-11-02,50.92044
Dera Ghazi Khan,2024-11-03,50.18056
Dera Ghazi Khan,2024-11-04,51.43999
Dera Ghazi Khan,2024-11-05,52.841923
Dera Ghazi Khan,2024-11-06,53.526985
Dera Ghazi Khan,2024-11-07,53.353584
Dera Ghazi Khan,2024-11-08,53.187664
Dera Ghazi Khan,2024-11-09,53.551933
Dera Ghazi Khan,2024-11-10,53.71032
Dera Ghazi Khan,2024-11-11,53.258488
Dera Ghazi Khan,2024-11-12,51.369736
Dera Ghazi Khan,2024-11-13,49.409065
Dera Ghazi Khan,2024-11-14,49.977943
Dera Ghazi Khan,2024-11-15,51.128075
Dera Ghazi Khan,2024-11-16,52.270878
Dera Ghazi Khan,2024-11-17,53.103306
Dera Ghazi Khan,2024-11-18,53.27909
Dera Ghazi Khan,2024-11-19,54.25688
Dera Ghazi Khan,2024-11-20,54.11055
Dera Ghazi Khan,2024-11-21,54.210205
Dera Ghazi Khan,2024-11-22,53.37204
Dera Ghazi Khan,2024-11-23,50.857998
Dera Ghazi Khan,2024-11-24,49.850243
Dera Ghazi Khan,2024-11-25,50.99125
Dera Ghazi Khan,2024-11-26,52.147503
Dera Ghazi Khan,2024-11-27,53.17694
Faisalabad,2024-08-30,66.34995
Faisalabad,2024-08-31,64.30094
Faisalabad,2024-09-01,68.40425
Faisalabad,2024-09-02,77.06541
Faisalabad,2024-09-03,79.86565
Faisalabad,2024-09-04,81.44594
Faisalabad,2024-09-05,81.132675
Faisalabad,2024-09-06,77.355896
Faisalabad,2024-09-07,76.16867
Faisalabad,2024-09-08,74.7846
Faisalabad,2024-09-09,74.5578
Faisalabad,2024-09-10,74.99974
Faisalabad,2024-09-11,75.23164
Faisalabad,2024-09-12,76.404236
Faisalabad,2024-09-13,77.0052
Faisalabad,2024-09-14,76.963005
Faisalabad,2024-09-15,76.62246
Faisalabad,2024-09-16,76.28606
Faisalabad,2024-09-17,75.78472
Faisalabad,2024-09-18,75.38253
Faisalabad,2024-09-19,74.15669
Faisalabad,2024-09-20,74.30596
Faisalabad,2024-09-21,74.700134
Faisalabad,2024-09-22,75.315636
Faisalabad,2024-09-23,76.62458
Faisalabad,2024-09-24,76.8686
Faisalabad,2024-09-25,76.365074
Faisalabad,2024-09-26,75.56082
