date,hour,District,AQI
11/7/2024,1:00,Muzaffargarh,202.425
11/7/2024,1:00,Nankana Sahib,216.455
11/7/2024,1:00,Narowal,148.035
11/7/2024,1:00,Okara,190.535
11/7/2024,1:00,Pakpattan,162.935
11/7/2024,1:00,Rahim Yar Khan,152.045
11/7/2024,1:00,Rajanpur,93.19
11/7/2024,1:00,Rawalpindi,183.12
11/7/2024,1:00,Sahiwal,172.955
11/7/2024,1:00,Sargodha,281.145
11/7/2024,1:00,Sheikhupura,436.265
11/7/2024,1:00,Sialkot,169.51
11/7/2024,1:00,Toba Tek Singh,176.6
11/7/2024,1:00,Vehari,188.85
11/7/2024,20:00,Attock,295.25
11/7/2024,20:00,Bahawalnagar,150.955
11/7/2024,20:00,Bahawalpur,231.3
11/7/2024,20:00,Bhakkar,190.91
11/7/2024,20:00,Chakwal,195.76
11/7/2024,20:00,Chiniot,246.925
11/7/2024,20:00,Dera Ghazi Khan,212.71
11/7/2024,20:00,Faisalabad,218.91
11/7/2024,20:00,Gujranwala,242.255
11/7/2024,20:00,Gujrat,172.24
11/7/2024,20:00,Hafizabad,226.94
11/7/2024,20:00,Jhang,217.915
11/7/2024,20:00,Jhelum,202.83
11/7/2024,20:00,Kasur,197.08
11/7/2024,20:00,Khanewal,240.525
11/7/2024,20:00,Khushab,219.77
11/7/2024,20:00,Lahore,305.47
11/7/2024,20:00,Layyah,188.625
11/7/2024,20:00,Lodhran,243.675
11/7/2024,20:00,Mandi Bahuddin,261.285
11/7/2024,20:00,Mianwali,170.84
11/7/2024,20:00,Multan,238.66
11/7/2024,20:00,Muzaffargarh,224.435
11/7/2024,20:00,Nankana Sahib,212.525
11/7/2024,20:00,Narowal,218.365
11/7/2024,20:00,Okara,186.635
11/7/2024,20:00,Pakpattan,149.03
11/7/2024,20:00,Rahim Yar Khan,190.42
11/7/2024,20:00,Rajanpur,214.095
11/7/2024,20:00,Rawalpindi,234.42
11/7/2024,20:00,Sahiwal,165.565
11/7/2024,20:00,Sargodha,242.245
11/7/2024,20:00,Sheikhupura,300.9
11/7/2024,20:00,Sialkot,252.585
11/7/2024,20:00,Toba Tek Singh,163.38
11/7/2024,20:00,Vehari,238.625
11/7/2024,21:00,Attock,282.965
