Date,Date,Final_aqi
45573,10/8/2024,60.68567708
45574,10/9/2024,62.35744792
45575,10/10/2024,62.33013021
45576,10/11/2024,63.53520833
45577,10/12/2024,75.91731771
45578,10/13/2024,80.10539063
45579,10/14/2024,79.37033854
45580,10/15/2024,83.46617188
45581,10/16/2024,96.80572917
45582,10/17/2024,114.8558073
45583,10/18/2024,116.0395833
45584,10/19/2024,106.2003646
45585,10/20/2024,123.5761979
45586,10/21/2024,130.7702865
45587,10/22/2024,122.1055729
45588,10/23/2024,107.5755208
45589,10/24/2024,87.0959375
45590,10/25/2024,81.90604167
45591,10/26/2024,87.81992187
45592,10/27/2024,108.606875
45593,10/28/2024,101.8564583
45594,10/29/2024,93.22299479
45595,10/30/2024,96.91763021
45596,10/31/2024,92.36703125
45597,11/1/2024,95.27778646
45598,11/2/2024,124.3925781
45599,11/3/2024,127.843151
45600,11/4/2024,128.0690104
45601,11/5/2024,146.0698177
45602,11/6/2024,141.2595833
45603,11/7/2024,173.6931771
45604,11/8/2024,189.081901
45605,11/9/2024,176.5185677
45606,11/10/2024,155.7645052
45607,11/11/2024,142.487136
45608,11/12/2024,177.8644741
45609,11/13/2024,169.9955641
45610,11/14/2024,180.2504483
45611,11/15/2024,177.2415873
45612,11/16/2024,178.4126876
45613,11/17/2024,176.6889353
45614,11/18/2024,166.5985168
45615,11/19/2024,177.8644741
45616,11/20/2024,169.9955641
45617,11/21/2024,180.2504483
45618,11/22/2024,177.2415873
45619,11/23/2024,178.4126876
45620,11/24/2024,176.6889353
45621,11/25/2024,166.5985168
45622,11/26/2024,177.8644741
45623,11/27/2024,169.9955641
45624,11/28/2024,180.2504483
45625,11/29/2024,177.2415873
45626,11/30/2024,178.4126876
45075,5/29/2023,73.02916667
45076,5/30/2023,83.29333333
45077,5/31/2023,80.72166667
45078,6/1/2023,68.955625
45079,6/2/2023,83.8375
45080,6/3/2023,107.47875
45081,6/4/2023,92.55
45082,6/5/2023,92.25541667
45083,6/6/2023,109.8947917
45084,6/7/2023,91.84583333
45085,6/8/2023,78.80979167
45086,6/9/2023,80.79041667
45087,6/10/2023,74.80833333
45088,6/11/2023,93.41541667
45089,6/12/2023,75.63791667
45090,6/13/2023,64.67479167
45091,6/14/2023,68.835
45092,6/15/2023,70.61270833
45093,6/16/2023,65.81791667
45094,6/17/2023,56.18541667
45095,6/18/2023,68.30375
45096,6/19/2023,91.99520833
45097,6/20/2023,89.574375
45098,6/21/2023,90.35020833
45099,6/22/2023,83.03916667
45100,6/23/2023,79.17875
45101,6/24/2023,83.27854167
45102,6/25/2023,76.265625
45103,6/26/2023,78.55125
45104,6/27/2023,106.5166667
45105,6/28/2023,144.9335417
45106,6/29/2023,120.79125
45107,6/30/2023,140.4479167
45108,7/1/2023,224.0089583
45109,7/2/2023,203.2166667
45110,7/3/2023,225.711875
45111,7/4/2023,332.7970833
45112,7/5/2023,282.6277083
45113,7/6/2023,165.8589583
45114,7/7/2023,110.7033333
45115,7/8/2023,65.64520833
45116,7/9/2023,84.42791667
45117,7/10/2023,114.9920833
45118,7/11/2023,129.1020833
45119,7/12/2023,226.034375
45120,7/13/2023,220.8354167
45121,7/14/2023,193.14375
45122,7/15/2023,235.5083333
45123,7/16/2023,217.3427083
45124,7/17/2023,172.17875
45125,7/18/2023,187.989375
45126,7/19/2023,138.1708333
45127,7/20/2023,102.841875
45128,7/21/2023,84.385625
45129,7/22/2023,131.1027083
45130,7/23/2023,101.4925
45131,7/24/2023,80.64875
45132,7/25/2023,79.10604167
45133,7/26/2023,67.04666667
45134,7/27/2023,64.17875
45135,7/28/2023,60.854375
45136,7/29/2023,73.61291667
45137,7/30/2023,91.55729167
45138,7/31/2023,117.680625
45139,8/1/2023,212.0625
45140,8/2/2023,270.4677083
45141,8/3/2023,173.07875
45142,8/4/2023,196.335625
45143,8/5/2023,231.585625
45144,8/6/2023,355.0070833
45145,8/7/2023,396.1622917
45146,8/8/2023,350.8608333
45147,8/9/2023,292.7029167
45148,8/10/2023,242.4377083
45149,8/11/2023,207.665625
45150,8/12/2023,248.005
45151,8/13/2023,302.2697917
45152,8/14/2023,214.55125
45153,8/15/2023,190.7816667
45154,8/16/2023,200.4895833
45155,8/17/2023,222.3202083
45156,8/18/2023,193.7302083
45157,8/19/2023,139.2483333
45158,8/20/2023,113.798125
45159,8/21/2023,110.0641667
45160,8/22/2023,214.7054167
45161,8/23/2023,299.6172917
45162,8/24/2023,201.395
45163,8/25/2023,224.8022917
45164,8/26/2023,185.471875
45165,8/27/2023,184.4745833
45166,8/28/2023,228.2460417
45167,8/29/2023,198.2322917
45168,8/30/2023,151.93625
45169,8/31/2023,150.4033333
45170,9/1/2023,142.960625
45171,9/2/2023,147.2475
45172,9/3/2023,131.7295833
45173,9/4/2023,128.143125
45174,9/5/2023,139.0920833
45175,9/6/2023,134.0510417
45176,9/7/2023,143.0541667
45177,9/8/2023,99.690625
45178,9/9/2023,88.28895833
45179,9/10/2023,90.18625
45180,9/11/2023,89.08333333
45181,9/12/2023,86.91541667
45182,9/13/2023,92.41875
45183,9/14/2023,97.71875
45184,9/15/2023,85.00979167
45185,9/16/2023,80.29416667
45186,9/17/2023,55.76104167
45187,9/18/2023,49.40375
45188,9/19/2023,52.05604167
45189,9/20/2023,92.12854167
45190,9/21/2023,74.145
45191,9/22/2023,89.61708333
45192,9/23/2023,79.11708333
45193,9/24/2023,90.514375
45194,9/25/2023,103.1570833
45195,9/26/2023,141.2322917
45196,9/27/2023,143.9725
45197,9/28/2023,100.8227083
45198,9/29/2023,137.5570833
45199,9/30/2023,131.4445833
45200,10/1/2023,138.62625
45201,10/2/2023,115.6335417
45202,10/3/2023,135.961875
45203,10/4/2023,146.40125
45204,10/5/2023,146.1610417
45205,10/6/2023,104.7558333
45206,10/7/2023,133.918125
45207,10/8/2023,156.0825
45208,10/9/2023,106.8839583
45209,10/10/2023,110.931875
45210,10/11/2023,128.46875
45211,10/12/2023,115.363125
45212,10/13/2023,94.850625
45213,10/14/2023,106.728125
45214,10/15/2023,95.60375
45215,10/16/2023,99.94708333
45216,10/17/2023,80.573125
45217,10/18/2023,119.0922917
45218,10/19/2023,147.76125
45219,10/20/2023,125.7033333
45220,10/21/2023,94.38625
45221,10/22/2023,121.9470833
45222,10/23/2023,181.41875
45223,10/24/2023,133.9370833
45224,10/25/2023,150.9477083
45225,10/26/2023,128.4808333
45226,10/27/2023,106.8652083
45227,10/28/2023,136.23125
45228,10/29/2023,155.7091667
45229,10/30/2023,155.2202083
45230,10/31/2023,162.3166667
45231,11/1/2023,184.5883333
45232,11/2/2023,191.9889583
45233,11/3/2023,181.5322917
45234,11/4/2023,145.868125
45235,11/5/2023,156.176875
45236,11/6/2023,154.2329167
45237,11/7/2023,195.5429167
45238,11/8/2023,228.51375
45239,11/9/2023,140.6802083
45240,11/10/2023,111.6145833
45241,11/11/2023,174.8404167
45242,11/12/2023,163.98125
45243,11/13/2023,169.2966667
45244,11/14/2023,163.6489583
45245,11/15/2023,166.0483333
45246,11/16/2023,191.260625
45247,11/17/2023,187.7370833
45248,11/18/2023,197.0970833
45249,11/19/2023,197.0933333
45250,11/20/2023,248.5227083
45251,11/21/2023,219.4295833
45252,11/22/2023,155.7460417
45253,11/23/2023,137.0633333
45254,11/24/2023,239.5945833
45255,11/25/2023,229.4122917
45256,11/26/2023,191.27625
45257,11/27/2023,184.7291667
45258,11/28/2023,167.336875
45259,11/29/2023,130.4858333
45260,11/30/2023,155.5429167
45261,12/1/2023,170.0079167
45262,12/2/2023,235.085625
45263,12/3/2023,247.4908333
45264,12/4/2023,210.7654167
45265,12/5/2023,269.0241667
45266,12/6/2023,265.7635417
45267,12/7/2023,281.0695833
45268,12/8/2023,257.119375
45269,12/9/2023,335.674375
45270,12/10/2023,290.4908333
45271,12/11/2023,171.885
45272,12/12/2023,166.9264583
45273,12/13/2023,251.1010417
45274,12/14/2023,314.7829167
45275,12/15/2023,229.89125
45276,12/16/2023,259.5147917
45277,12/17/2023,279.539375
45278,12/18/2023,196.4975
45279,12/19/2023,249.6002083
45280,12/20/2023,262.9883333
45281,12/21/2023,346.6214583
45282,12/22/2023,280.9770833
45283,12/23/2023,302.0552083
45284,12/24/2023,364.5041667
45285,12/25/2023,383.9710417
45286,12/26/2023,328.8008333
45287,12/27/2023,374.5497917
45288,12/28/2023,257.503125
45289,12/29/2023,225.7554167
45290,12/30/2023,336.7927083
45291,12/31/2023,310.9177083
45292,1/1/2024,295.1777083
45293,1/2/2024,293.0252083
45294,1/3/2024,342.8691667
45295,1/4/2024,389.195
45296,1/5/2024,402.8104167
45297,1/6/2024,405.255
45298,1/7/2024,395.4239583
45299,1/8/2024,342.6935417
45300,1/9/2024,357.145625
45301,1/10/2024,347.0027083
45302,1/11/2024,357.8464583
45303,1/12/2024,293.693125
45304,1/13/2024,279.0914583
45305,1/14/2024,366.0770833
45306,1/15/2024,280.8108333
45307,1/16/2024,269.0910417
45308,1/17/2024,421.0039583
45309,1/18/2024,385.0172917
45310,1/19/2024,230.3033333
45311,1/20/2024,234.4810417
45312,1/21/2024,284.6333333
45313,1/22/2024,216.4864583
45314,1/23/2024,347.8539583
45315,1/24/2024,293.69375
45316,1/25/2024,255.8491667
45317,1/26/2024,326.180625
45318,1/27/2024,355.635
45319,1/28/2024,270.8108333
45320,1/29/2024,308.3870833
45321,1/30/2024,262.5495833
45322,1/31/2024,204.994375
45323,2/1/2024,155.0797917
45324,2/2/2024,114.9797917
45325,2/3/2024,107.8389583
45326,2/4/2024,133.8152083
45327,2/5/2024,195.0570833
45328,2/6/2024,177.0064583
45329,2/7/2024,129.930625
45330,2/8/2024,125.0916667
45331,2/9/2024,130.0004167
45332,2/10/2024,190.1045833
45333,2/11/2024,206.1841667
45334,2/12/2024,191.3385417
45335,2/13/2024,210.7422917
45336,2/14/2024,166.1010417
45337,2/15/2024,163.7710417
45338,2/16/2024,163.7416667
45339,2/17/2024,110.8027083
45340,2/18/2024,105.5489583
45341,2/19/2024,133.6760417
45342,2/20/2024,127.6889583
45343,2/21/2024,111.3272917
45344,2/22/2024,116.9725
45345,2/23/2024,98.12270833
45346,2/24/2024,105.7525
